Star Rating,Review Title,Review Text,Review Last Update Date
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-12
4,Good,Good but has some minor bugs.,2026-04-12
1,Terrible,Crashes on startup. Unusable.,2026-03-17
5,Great App,Works perfectly. I use it every day.,2026-04-20
2,Issues,Having login issues since the latest update. @support please fix.,2025-10-17
4,Good,Good but has some minor bugs.,2026-01-11
5,Love it,Seamless onboarding process. Very impressed.,2025-11-20
4,Good,Good but has some minor bugs.,2025-06-10
5,Awesome,The new UI is fantastic and payments are quick.,2025-06-14
4,Good,Good but has some minor bugs.,2026-04-05
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-11-05
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-14
2,Issues,Having login issues since the latest update. @support please fix.,2025-12-05
2,Disappointed,Statements are hard to download. Needs improvement.,2026-05-21
4,Good,Good but has some minor bugs.,2026-02-26
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-10
5,Love it,Seamless onboarding process. Very impressed.,2025-07-05
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-05
5,Love it,Seamless onboarding process. Very impressed.,2025-09-17
5,Great App,Works perfectly. I use it every day.,2026-05-10
5,Great App,Works perfectly. I use it every day.,2025-10-18
4,Solid,Solid app for KYC but takes too long to approve.,2025-09-17
5,Love it,Seamless onboarding process. Very impressed.,2025-09-20
2,Issues,Having login issues since the latest update. @support please fix.,2026-05-14
4,Solid,Solid app for KYC but takes too long to approve.,2025-09-26
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-22
4,Solid,Solid app for KYC but takes too long to approve.,2025-06-30
5,Great App,Works perfectly. I use it every day.,2026-03-13
5,Great App,Works perfectly. I use it every day.,2025-07-09
2,Issues,Having login issues since the latest update. @support please fix.,2025-11-22
5,Great App,Works perfectly. I use it every day.,2026-01-28
2,Issues,Having login issues since the latest update. @support please fix.,2026-05-11
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-19
1,Terrible,Crashes on startup. Unusable.,2025-07-28
5,Great App,Works perfectly. I use it every day.,2026-05-17
1,Terrible,Crashes on startup. Unusable.,2025-07-16
1,Terrible,Crashes on startup. Unusable.,2025-07-30
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-03
5,Awesome,The new UI is fantastic and payments are quick.,2025-10-23
5,Love it,Seamless onboarding process. Very impressed.,2025-07-16
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-24
3,Average,Customer support is slow to respond to my queries.,2026-05-14
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-05-15
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-28
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-04
5,Love it,Seamless onboarding process. Very impressed.,2025-08-25
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-07-12
3,Average,Customer support is slow to respond to my queries.,2025-12-23
5,Awesome,The new UI is fantastic and payments are quick.,2026-03-31
5,Love it,Seamless onboarding process. Very impressed.,2026-04-03
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-06-18
5,Awesome,The new UI is fantastic and payments are quick.,2025-12-06
5,Love it,Seamless onboarding process. Very impressed.,2025-10-27
3,Average,Customer support is slow to respond to my queries.,2025-08-14
5,Love it,Seamless onboarding process. Very impressed.,2026-02-09
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-10-03
5,Love it,Seamless onboarding process. Very impressed.,2026-04-14
4,Good,Good but has some minor bugs.,2025-06-14
1,Terrible,Crashes on startup. Unusable.,2026-04-27
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-29
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-26
2,Disappointed,Statements are hard to download. Needs improvement.,2026-05-01
5,Love it,Seamless onboarding process. Very impressed.,2025-07-28
3,Average,Customer support is slow to respond to my queries.,2026-05-21
5,Awesome,The new UI is fantastic and payments are quick.,2026-03-01
2,Issues,Having login issues since the latest update. @support please fix.,2025-08-17
1,Terrible,Crashes on startup. Unusable.,2026-05-22
4,Good,Good but has some minor bugs.,2026-04-04
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-29
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-25
4,Good,Good but has some minor bugs.,2025-11-29
3,Average,Customer support is slow to respond to my queries.,2026-04-19
1,Terrible,Crashes on startup. Unusable.,2025-06-23
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-11
5,Love it,Seamless onboarding process. Very impressed.,2026-05-08
5,Great App,Works perfectly. I use it every day.,2026-04-30
5,Great App,Works perfectly. I use it every day.,2026-05-23
2,Issues,Having login issues since the latest update. @support please fix.,2025-12-09
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-26
2,Issues,Having login issues since the latest update. @support please fix.,2025-09-22
5,Great App,Works perfectly. I use it every day.,2025-06-16
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-27
5,Great App,Works perfectly. I use it every day.,2025-12-21
3,Average,Customer support is slow to respond to my queries.,2025-12-13
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-06-04
5,Awesome,The new UI is fantastic and payments are quick.,2026-04-15
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-23
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-06
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-16
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-11-13
4,Solid,Solid app for KYC but takes too long to approve.,2025-06-30
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-11
5,Love it,Seamless onboarding process. Very impressed.,2026-05-28
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-07-16
5,Great App,Works perfectly. I use it every day.,2025-10-02
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-29
4,Good,Good but has some minor bugs.,2025-08-12
4,Good,Good but has some minor bugs.,2025-09-13
5,Love it,Seamless onboarding process. Very impressed.,2026-04-07
2,Issues,Having login issues since the latest update. @support please fix.,2025-11-21
4,Good,Good but has some minor bugs.,2026-04-17
