Rating,Review Title,Review,Date,Reviewer
1,Terrible,Crashes on startup. Unusable.,2025-09-18,User635
3,Average,Customer support is slow to respond to my queries.,2026-04-18,User915
3,Average,Customer support is slow to respond to my queries.,2025-12-18,User838
4,Solid,Solid app for KYC but takes too long to approve.,2025-09-13,User104
3,Average,Customer support is slow to respond to my queries.,2026-01-03,User666
4,Solid,Solid app for KYC but takes too long to approve.,2025-12-04,User494
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-18,User313
4,Solid,Solid app for KYC but takes too long to approve.,2026-01-20,User926
1,Terrible,Crashes on startup. Unusable.,2025-10-10,User964
3,Average,Customer support is slow to respond to my queries.,2026-04-18,User930
3,Average,Customer support is slow to respond to my queries.,2026-02-02,User417
5,Great App,Works perfectly. I use it every day.,2026-04-12,User384
1,Terrible,Crashes on startup. Unusable.,2025-07-28,User966
5,Awesome,The new UI is fantastic and payments are quick.,2025-12-14,User412
5,Awesome,The new UI is fantastic and payments are quick.,2026-02-14,User204
5,Love it,Seamless onboarding process. Very impressed.,2026-05-16,User226
5,Great App,Works perfectly. I use it every day.,2025-07-03,User366
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-14,User633
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-23,User167
1,Terrible,Crashes on startup. Unusable.,2026-01-01,User946
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-06-29,User510
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-06,User738
3,Average,Customer support is slow to respond to my queries.,2025-11-21,User412
2,Issues,Having login issues since the latest update. @support please fix.,2025-07-21,User244
4,Good,Good but has some minor bugs.,2025-09-22,User432
4,Solid,Solid app for KYC but takes too long to approve.,2025-11-29,User940
2,Issues,Having login issues since the latest update. @support please fix.,2025-09-17,User434
3,Average,Customer support is slow to respond to my queries.,2025-08-29,User247
4,Good,Good but has some minor bugs.,2026-02-11,User522
4,Solid,Solid app for KYC but takes too long to approve.,2025-05-27,User626
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-10-25,User744
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-29,User477
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-06,User231
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-13,User899
1,Terrible,Crashes on startup. Unusable.,2025-06-07,User465
4,Solid,Solid app for KYC but takes too long to approve.,2026-01-07,User431
5,Great App,Works perfectly. I use it every day.,2025-10-06,User632
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-10,User124
5,Awesome,The new UI is fantastic and payments are quick.,2026-04-22,User742
4,Good,Good but has some minor bugs.,2025-06-01,User338
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-02-07,User407
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-11-05,User737
3,Average,Customer support is slow to respond to my queries.,2025-06-22,User206
1,Terrible,Crashes on startup. Unusable.,2025-10-03,User963
4,Solid,Solid app for KYC but takes too long to approve.,2026-05-08,User696
3,Average,Customer support is slow to respond to my queries.,2025-07-25,User571
2,Disappointed,Statements are hard to download. Needs improvement.,2025-05-27,User302
2,Disappointed,Statements are hard to download. Needs improvement.,2025-07-21,User128
1,Terrible,Crashes on startup. Unusable.,2025-09-24,User500
3,Average,Customer support is slow to respond to my queries.,2026-01-25,User982
5,Love it,Seamless onboarding process. Very impressed.,2025-06-05,User326
4,Good,Good but has some minor bugs.,2025-07-25,User833
3,Average,Customer support is slow to respond to my queries.,2025-11-21,User989
2,Issues,Having login issues since the latest update. @support please fix.,2025-11-06,User881
4,Good,Good but has some minor bugs.,2025-11-01,User147
2,Issues,Having login issues since the latest update. @support please fix.,2025-09-28,User741
5,Great App,Works perfectly. I use it every day.,2025-06-02,User246
4,Solid,Solid app for KYC but takes too long to approve.,2025-12-05,User837
5,Awesome,The new UI is fantastic and payments are quick.,2026-04-21,User254
5,Great App,Works perfectly. I use it every day.,2025-10-16,User329
2,Issues,Having login issues since the latest update. @support please fix.,2025-09-15,User440
4,Good,Good but has some minor bugs.,2025-12-10,User489
5,Awesome,The new UI is fantastic and payments are quick.,2026-04-26,User849
5,Awesome,The new UI is fantastic and payments are quick.,2026-03-04,User512
5,Great App,Works perfectly. I use it every day.,2026-03-06,User447
5,Love it,Seamless onboarding process. Very impressed.,2026-02-18,User311
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-12-01,User505
5,Great App,Works perfectly. I use it every day.,2025-06-08,User374
5,Great App,Works perfectly. I use it every day.,2025-09-22,User533
3,Average,Customer support is slow to respond to my queries.,2025-06-24,User888
2,Disappointed,Statements are hard to download. Needs improvement.,2026-02-08,User112
2,Issues,Having login issues since the latest update. @support please fix.,2025-06-14,User568
4,Good,Good but has some minor bugs.,2026-03-16,User393
1,Terrible,Crashes on startup. Unusable.,2025-06-12,User468
3,Average,Customer support is slow to respond to my queries.,2025-05-26,User666
4,Solid,Solid app for KYC but takes too long to approve.,2025-09-30,User979
4,Solid,Solid app for KYC but takes too long to approve.,2026-01-15,User442
1,Terrible,Crashes on startup. Unusable.,2026-02-18,User724
4,Good,Good but has some minor bugs.,2025-06-26,User568
3,Average,Customer support is slow to respond to my queries.,2026-03-03,User999
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-06,User356
4,Good,Good but has some minor bugs.,2025-10-10,User200
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-14,User777
5,Love it,Seamless onboarding process. Very impressed.,2026-03-17,User112
3,Average,Customer support is slow to respond to my queries.,2025-11-13,User928
5,Love it,Seamless onboarding process. Very impressed.,2025-07-25,User329
5,Great App,Works perfectly. I use it every day.,2026-02-04,User978
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-22,User155
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-11,User815
2,Disappointed,Statements are hard to download. Needs improvement.,2026-05-12,User333
5,Love it,Seamless onboarding process. Very impressed.,2026-03-19,User761
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-27,User463
5,Great App,Works perfectly. I use it every day.,2025-12-11,User696
1,Terrible,Crashes on startup. Unusable.,2025-12-10,User235
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-09,User577
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-15,User591
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-14,User884
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-25,User793
5,Great App,Works perfectly. I use it every day.,2025-10-13,User472
3,Average,Customer support is slow to respond to my queries.,2025-12-14,User557
5,Great App,Works perfectly. I use it every day.,2025-06-05,User580
1,Terrible,Crashes on startup. Unusable.,2025-06-19,User631
4,Good,Good but has some minor bugs.,2025-07-18,User407
5,Love it,Seamless onboarding process. Very impressed.,2025-06-16,User656
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-07-03,User441
1,Terrible,Crashes on startup. Unusable.,2025-11-01,User899
4,Good,Good but has some minor bugs.,2026-04-30,User670
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-11,User829
2,Issues,Having login issues since the latest update. @support please fix.,2025-09-16,User429
3,Average,Customer support is slow to respond to my queries.,2025-08-04,User194
5,Love it,Seamless onboarding process. Very impressed.,2026-03-16,User336
5,Love it,Seamless onboarding process. Very impressed.,2026-04-01,User135
5,Love it,Seamless onboarding process. Very impressed.,2025-12-29,User686
5,Great App,Works perfectly. I use it every day.,2025-09-19,User385
2,Issues,Having login issues since the latest update. @support please fix.,2025-05-31,User723
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-23,User744
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-09,User388
4,Good,Good but has some minor bugs.,2025-11-22,User817
3,Average,Customer support is slow to respond to my queries.,2025-06-26,User744
2,Disappointed,Statements are hard to download. Needs improvement.,2026-02-28,User771
2,Disappointed,Statements are hard to download. Needs improvement.,2025-05-21,User602
5,Great App,Works perfectly. I use it every day.,2026-03-28,User622
1,Terrible,Crashes on startup. Unusable.,2025-11-02,User524
4,Solid,Solid app for KYC but takes too long to approve.,2025-11-17,User411
3,Average,Customer support is slow to respond to my queries.,2025-12-04,User118
2,Disappointed,Statements are hard to download. Needs improvement.,2025-07-16,User346
2,Disappointed,Statements are hard to download. Needs improvement.,2026-02-08,User545
5,Awesome,The new UI is fantastic and payments are quick.,2025-10-06,User237
5,Awesome,The new UI is fantastic and payments are quick.,2025-12-11,User107
4,Solid,Solid app for KYC but takes too long to approve.,2026-02-21,User983
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-20,User181
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-05-15,User882
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-11,User233
5,Great App,Works perfectly. I use it every day.,2025-07-07,User335
2,Issues,Having login issues since the latest update. @support please fix.,2026-02-07,User552
5,Love it,Seamless onboarding process. Very impressed.,2026-02-03,User685
1,Terrible,Crashes on startup. Unusable.,2025-05-18,User702
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-05-11,User224
3,Average,Customer support is slow to respond to my queries.,2026-03-22,User730
5,Love it,Seamless onboarding process. Very impressed.,2025-09-30,User150
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-02-17,User799
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-09,User245
5,Love it,Seamless onboarding process. Very impressed.,2026-03-11,User488
4,Good,Good but has some minor bugs.,2025-09-07,User925
4,Good,Good but has some minor bugs.,2025-10-25,User411
5,Love it,Seamless onboarding process. Very impressed.,2025-10-31,User294
5,Love it,Seamless onboarding process. Very impressed.,2025-08-17,User374
5,Love it,Seamless onboarding process. Very impressed.,2025-11-22,User571
2,Disappointed,Statements are hard to download. Needs improvement.,2025-07-12,User410
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-28,User869
4,Good,Good but has some minor bugs.,2025-07-29,User823
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-05,User468
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-07-25,User513
3,Average,Customer support is slow to respond to my queries.,2025-12-25,User411
1,Terrible,Crashes on startup. Unusable.,2025-10-07,User300
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-10,User394
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-16,User499
4,Solid,Solid app for KYC but takes too long to approve.,2026-01-11,User276
5,Love it,Seamless onboarding process. Very impressed.,2025-06-15,User524
1,Terrible,Crashes on startup. Unusable.,2026-03-07,User606
3,Average,Customer support is slow to respond to my queries.,2026-03-14,User170
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-23,User673
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-18,User391
3,Average,Customer support is slow to respond to my queries.,2026-02-02,User801
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-10,User500
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-16,User421
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-20,User679
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-16,User169
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-23,User235
1,Terrible,Crashes on startup. Unusable.,2026-02-21,User135
1,Terrible,Crashes on startup. Unusable.,2025-09-05,User658
4,Good,Good but has some minor bugs.,2025-06-19,User907
3,Average,Customer support is slow to respond to my queries.,2025-06-26,User309
5,Love it,Seamless onboarding process. Very impressed.,2025-11-06,User544
5,Awesome,The new UI is fantastic and payments are quick.,2025-07-03,User164
5,Love it,Seamless onboarding process. Very impressed.,2025-07-14,User656
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-23,User212
5,Love it,Seamless onboarding process. Very impressed.,2025-06-06,User389
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-11-11,User948
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-03,User298
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-05,User407
4,Good,Good but has some minor bugs.,2025-09-11,User170
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-31,User597
5,Love it,Seamless onboarding process. Very impressed.,2026-03-02,User406
4,Good,Good but has some minor bugs.,2025-05-18,User711
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-16,User905
5,Great App,Works perfectly. I use it every day.,2026-03-11,User724
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-27,User805
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-15,User644
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-14,User362
1,Terrible,Crashes on startup. Unusable.,2025-11-20,User779
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-28,User693
2,Issues,Having login issues since the latest update. @support please fix.,2025-12-22,User691
